Date,Open,High,Low,Close,Adj Close,Volume
04-05-2018,1019.609985,1051.880005,1018.049988,1051,1051,1844600
07-05-2018,1053.890015,1065,1050.27002,1059.459961,1059.459961,1720000
08-05-2018,1064.619995,1065.22998,1051.640015,1058.589966,1058.589966,1301500
09-05-2018,1064.099976,1094,1062.109985,1088.949951,1088.949951,2358000
10-05-2018,1095,1109.410034,1093.880005,1105.469971,1105.469971,1820700
11-05-2018,1100.410034,1109.01001,1097.219971,1103.380005,1103.380005,1525200
14-05-2018,1105.569946,1118.150024,1104.800049,1106.599976,1106.599976,1966900
15-05-2018,1096.900024,1099.119995,1078.780029,1084.869995,1084.869995,1786900
16-05-2018,1085.089966,1094.380005,1081.630005,1084.089966,1084.089966,1281400
17-05-2018,1081.459961,1091,1076.420044,1081.26001,1081.26001,1286900
18-05-2018,1066,1073.72998,1064.680054,1069.640015,1069.640015,1774100
21-05-2018,1079,1093.300049,1078,1084.01001,1084.01001,1259000
22-05-2018,1089.800049,1091.800049,1072.26001,1075.310059,1075.310059,1111300
23-05-2018,1070,1088,1066.959961,1085.959961,1085.959961,1187000
24-05-2018,1086.900024,1087.119995,1072.300049,1085.449951,1085.449951,1030200
25-05-2018,1086.550049,1089.569946,1082.599976,1084.079956,1084.079956,1111200
29-05-2018,1076,1081.339966,1063.079956,1068.069946,1068.069946,1803800
30-05-2018,1073.47998,1078.98999,1066.550049,1077.469971,1077.469971,1434300
31-05-2018,1082,1110,1078,1100,1100,3968400
01-06-2018,1112.869995,1138.160034,1112.01001,1135,1135,3160100
04-06-2018,1138.5,1157.859985,1137,1153.040039,1153.040039,2237700
05-06-2018,1154.660034,1161.099976,1147.459961,1151.02002,1151.02002,1648200
06-06-2018,1152.77002,1154.709961,1136.319946,1146.949951,1146.949951,1746700
07-06-2018,1144.579956,1145.869995,1126.119995,1134.420044,1134.420044,1805400
08-06-2018,1131.209961,1138.780029,1123.22998,1132.709961,1132.709961,1364200
11-06-2018,1132.939941,1147.73999,1131.400024,1140.900024,1140.900024,1239800
12-06-2018,1141.02002,1148.75,1141.02002,1148.189941,1148.189941,1304600
13-06-2018,1152.280029,1155.640015,1143.380005,1144.22998,1144.22998,1715100
14-06-2018,1152.209961,1165.98999,1150.599976,1160.109985,1160.109985,1771100
15-06-2018,1159.920044,1163.910034,1153.689941,1159.27002,1159.27002,2221900
18-06-2018,1152.689941,1184.130005,1151,1183.579956,1183.579956,1651900
19-06-2018,1170.109985,1182.810059,1161.609985,1178.689941,1178.689941,2364100
20-06-2018,1183.300049,1201.48999,1182.030029,1184.069946,1184.069946,2584300
21-06-2018,1185.51001,1190.329956,1163.47998,1169.439941,1169.439941,2248300
22-06-2018,1171.48999,1175,1159.650024,1169.290039,1169.290039,1711000
25-06-2018,1155,1155.98999,1119.900024,1139.280029,1139.280029,2884100
26-06-2018,1144.140015,1146.869995,1129,1132.619995,1132.619995,1734400
27-06-2018,1136,1146.209961,1116.699951,1116.939941,1116.939941,1726900
28-06-2018,1112.390015,1134,1106.069946,1126.780029,1126.780029,1486300
29-06-2018,1132.310059,1141.359985,1127.02002,1129.189941,1129.189941,1578100
02-07-2018,1115.349976,1142.98999,1106.599976,1142.109985,1142.109985,1160800
03-07-2018,1149.420044,1149.910034,1114.430054,1116.280029,1116.280029,822400
05-07-2018,1124.599976,1144.140015,1123.119995,1141.290039,1141.290039,1429700
06-07-2018,1141.77002,1156.199951,1137.23999,1155.079956,1155.079956,1091000
09-07-2018,1160,1167.930054,1157.22998,1167.280029,1167.280029,1079200
10-07-2018,1169.98999,1173.5,1162.560059,1167.140015,1167.140015,1066700
11-07-2018,1155.619995,1180.439941,1155.369995,1171.459961,1171.459961,1662600
12-07-2018,1174.859985,1201.98999,1173.099976,1201.26001,1201.26001,2207400
13-07-2018,1202.800049,1210.439941,1195.290039,1204.420044,1204.420044,1630600
16-07-2018,1203.810059,1208.709961,1193.400024,1196.51001,1196.51001,1339200
17-07-2018,1182.73999,1218.76001,1182,1213.079956,1213.079956,2008100
18-07-2018,1208.530029,1221.589966,1204.560059,1212.910034,1212.910034,1947400
19-07-2018,1206.650024,1216.47998,1197.72998,1199.099976,1199.099976,1916900
20-07-2018,1199.23999,1210.77002,1196.589966,1197.880005,1197.880005,1896900
23-07-2018,1195.660034,1215.099976,1192.01001,1211,1211,3272300
24-07-2018,1271,1275,1244.140015,1258.150024,1258.150024,5380000
25-07-2018,1252.619995,1278.23999,1249.050049,1275.939941,1275.939941,2555200
26-07-2018,1267.180054,1287.400024,1263,1285.5,1285.5,2734300
27-07-2018,1289.119995,1291.439941,1244.48999,1252.890015,1252.890015,2418100
30-07-2018,1245.050049,1252.890015,1224.170044,1230.040039,1230.040039,2194800
31-07-2018,1231.709961,1241.209961,1216.189941,1227.219971,1227.219971,1969100
01-08-2018,1239.109985,1245.900024,1224.939941,1232.98999,1232.98999,1849700
02-08-2018,1218.5,1244.410034,1218.060059,1241.130005,1241.130005,1735200
03-08-2018,1245.180054,1246.52002,1229.420044,1238.160034,1238.160034,1063200
06-08-2018,1241.609985,1242.459961,1230.530029,1237.670044,1237.670044,1105700
07-08-2018,1252.01001,1266.079956,1251.800049,1255.839966,1255.839966,2125300
